"filename", "language", "Django HTML", "JSON", "JavaScript", "CSS", "XML", "SCSS", "WebAssembly Text Format", "comment", "blank", "total"
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\elements\nav-menu.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 0, 1, 136
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\elements\post-pagination.js", "JavaScript", 0, 0, 186, 0, 0, 0, 0, 0, 1, 187
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\elements\sticky-element.js", "JavaScript", 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\elements\testimonials.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 1, 115
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\elements\video-button.js", "JavaScript", 0, 0, 133, 0, 0, 0, 0, 0, 1, 134
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\sweetalert2\sweetalert2.min.css", "CSS", 0, 0, 0, 1135, 0, 0, 0, 0, 171, 1306
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\sweetalert2\sweetalert2.min.js", "JavaScript", 0, 0, 1251, 0, 0, 0, 0, 4, 7, 1262
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\tiny-slider\sourcemaps\tiny-slider.scss", "SCSS", 0, 0, 0, 0, 0, 133, 0, 4, 8, 145
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\tiny-slider\tiny-slider.css", "CSS", 0, 0, 0, 138, 0, 0, 0, 1, 30, 169
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\assets\js\tiny-slider\tiny-slider.js", "JavaScript", 0, 0, 1309, 0, 0, 0, 0, 0, 103, 1412
"d:\Websites\EvoMeal\wp-content\plugins\jeg-elementor-kit\lib\jeg-framework\assets\css\jeg-dynamic-styles.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Websites\EvoMeal\wp-content\plugins\metform\public\assets\css\text-editor.css", "CSS", 0, 0, 0, 950, 0, 0, 0, 6, 224, 1180
"d:\Websites\EvoMeal\wp-content\plugins\metform\public\assets\lib\cute-alert\cute-alert.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 77
"d:\Websites\EvoMeal\wp-content\plugins\metform\public\assets\lib\cute-alert\style.css", "CSS", 0, 0, 0, 343, 0, 0, 0, 0, 49, 392
"d:\Websites\EvoMeal\wp-content\themes\hello-elementor\assets\js\hello-frontend.min.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 4, 3, 71
